word,group,confidence,method,source_count
ya,49,0.75,cluster_phonetic,170
ya,49,0.75,cluster_phonetic,170
ya,49,0.75,cluster_phonetic,170
ya,49,0.75,cluster_phonetic,170
bag,50,0.75,cluster_phonetic,163
bag,50,0.75,cluster_phonetic,163
bag,50,0.75,cluster_phonetic,163
bag,50,0.75,cluster_phonetic,163
bag,50,0.75,cluster_phonetic,163
hey,51,0.75,cluster_phonetic,147
hey,51,0.75,cluster_phonetic,147
hey,51,0.75,cluster_phonetic,147
hey,51,0.75,cluster_phonetic,147
hey,51,0.75,cluster_phonetic,147
mine,52,0.75,cluster_phonetic,142
mine,52,0.75,cluster_phonetic,142
mine,52,0.75,cluster_phonetic,142
mine,52,0.75,cluster_phonetic,142
mine,52,0.75,cluster_phonetic,142
this,53,0.75,cluster_phonetic,142
this,53,0.75,cluster_phonetic,142
this,53,0.75,cluster_phonetic,142
this,53,0.75,cluster_phonetic,4
stay,54,0.75,cluster_phonetic,140
stay,54,0.75,cluster_phonetic,140
stay,54,0.75,cluster_phonetic,140
stay,54,0.75,cluster_phonetic,140
stay,54,0.75,cluster_phonetic,140
bounce,55,0.75,cluster_phonetic,140
bounce,55,0.75,cluster_phonetic,140
bounce,55,0.75,cluster_phonetic,140
bounce,55,0.75,cluster_phonetic,140
bounce,55,0.75,cluster_phonetic,4
flounce,55,0.75,cluster_phonetic,4
pounce,55,0.75,cluster_phonetic,4
too,56,0.75,cluster_phonetic,139
too,56,0.75,cluster_phonetic,139
too,56,0.75,cluster_phonetic,139
too,56,0.75,cluster_phonetic,139
too,56,0.75,cluster_phonetic,4
stop,57,0.75,cluster_phonetic,137
stop,57,0.75,cluster_phonetic,137
stop,57,0.75,cluster_phonetic,137
stop,57,0.75,cluster_phonetic,137
stop,57,0.75,cluster_phonetic,137
low,58,0.75,cluster_phonetic,137
low,58,0.75,cluster_phonetic,137
low,58,0.75,cluster_phonetic,137
low,58,0.75,cluster_phonetic,137
low,58,0.75,cluster_phonetic,4
see,59,0.75,cluster_phonetic,133
see,59,0.75,cluster_phonetic,133
see,59,0.75,cluster_phonetic,133
see,59,0.75,cluster_phonetic,133
see,59,0.75,cluster_phonetic,4
name,60,0.75,cluster_phonetic,129
name,60,0.75,cluster_phonetic,129
name,60,0.75,cluster_phonetic,129
name,60,0.75,cluster_phonetic,129
name,60,0.75,cluster_phonetic,4
woah,61,0.75,cluster_phonetic,125
woah,61,0.75,cluster_phonetic,125
woah,61,0.75,cluster_phonetic,125
woah,61,0.75,cluster_phonetic,125
woah,61,0.75,cluster_phonetic,125
okay,62,0.75,cluster_phonetic,122
okay,62,0.75,cluster_phonetic,122
okay,62,0.75,cluster_phonetic,122
okay,62,0.75,cluster_phonetic,122
okay,62,0.75,cluster_phonetic,122
himself,63,0.75,cluster_phonetic,4
myself,63,0.75,cluster_phonetic,122
myself,63,0.75,cluster_phonetic,120
myself,63,0.75,cluster_phonetic,120
myself,63,0.75,cluster_phonetic,120
myself,63,0.75,cluster_phonetic,120
self,63,0.75,cluster_phonetic,10
self,63,0.75,cluster_phonetic,10
self,63,0.75,cluster_phonetic,10
self,63,0.75,cluster_phonetic,10
self,63,0.75,cluster_phonetic,4
yourself,63,0.75,cluster_phonetic,25
yourself,63,0.75,cluster_phonetic,25
yourself,63,0.75,cluster_phonetic,25
yourself,63,0.75,cluster_phonetic,25
yourself,63,0.75,cluster_phonetic,25
high,64,0.75,cluster_phonetic,121
high,64,0.75,cluster_phonetic,121
high,64,0.75,cluster_phonetic,121
high,64,0.75,cluster_phonetic,121
high,64,0.75,cluster_phonetic,4
